VP_Count,AP_Count,Attack_Type,Num_Macro_Runs,Num_Sim_Runs_Per_TH,Cores_M,TP_Threshold,Avg_TH_Original,Successful_Runs_Orig,Avg_TH_Augmented,Successful_Runs_Aug
4,7,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98376227,1000
4,7,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99999990,1000
4,8,ANTERIOR,1000,1000,8,0.05000000,0.94700000,1000,0.93814249,1000
4,8,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.94343396,1000
4,8,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99162517,1000
4,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,9,ANTERIOR,1000,1000,8,0.05000000,0.97600000,1000,0.95808272,1000
4,9,POSTERIOR,1000,1000,8,0.05000000,0.99700000,1000,0.96001101,1000
4,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99489632,1000
4,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,10,ANTERIOR,1000,1000,8,0.05000000,0.99700000,1000,0.97291875,1000
4,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.97724312,1000
4,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99751703,1000
4,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98205265,1000
4,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98310478,1000
4,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99868048,1000
4,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
5,1,ANTERIOR,1000,1000,8,0.05000000,0.23600000,1000,0.32912806,1000
5,1,POSTERIOR,1000,1000,8,0.05000000,0.60900000,1000,0.33679161,1000
5,1,PINCER_DUAL,1000,1000,8,0.05000000,0.70100000,1000,0.51027707,1000
5,1,CONCURRENT,1000,1000,8,0.05000000,0.80700000,1000,0.75606557,1000
5,2,ANTERIOR,1000,1000,8,0.05000000,0.42600000,1000,0.57248130,1000
5,2,POSTERIOR,1000,1000,8,0.05000000,0.84400000,1000,0.56497547,1000
5,2,PINCER_DUAL,1000,1000,8,0.05000000,0.91300000,1000,0.77767379,1000
5,2,CONCURRENT,1000,1000,8,0.05000000,0.96600000,1000,0.94896145,1000
5,3,ANTERIOR,1000,1000,8,0.05000000,0.55300000,1000,0.71798403,1000
5,3,POSTERIOR,1000,1000,8,0.05000000,0.95100000,1000,0.71178929,1000
5,3,PINCER_DUAL,1000,1000,8,0.05000000,0.97500000,1000,0.88275510,1000
5,3,CONCURRENT,1000,1000,8,0.05000000,0.99000000,1000,0.98695729,1000
5,4,ANTERIOR,1000,1000,8,0.05000000,0.74900000,1000,0.82831487,1000
5,4,POSTERIOR,1000,1000,8,0.05000000,0.97500000,1000,0.81239182,1000
5,4,PINCER_DUAL,1000,1000,8,0.05000000,0.98700000,1000,0.94840839,1000
5,4,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99876242,1000
5,5,ANTERIOR,1000,1000,8,0.05000000,0.83000000,1000,0.88755695,1000
5,5,POSTERIOR,1000,1000,8,0.05000000,0.99300000,1000,0.88983804,1000
5,5,PINCER_DUAL,1000,1000,8,0.05000000,0.99800000,1000,0.97658102,1000
5,5,CONCURRENT,1000,1000,8,0.05000000,0.99900000,1000,0.99955204,1000
5,6,ANTERIOR,1000,1000,8,0.05000000,0.88600000,1000,0.92645108,1000
5,6,POSTERIOR,1000,1000,8,0.05000000,0.99800000,1000,0.93127450,1000
5,6,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98934019,1000
5,6,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99999946,1000
5,7,ANTERIOR,1000,1000,8,0.05000000,0.93700000,1000,0.95600010,1000
5,7,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.95880466,1000
5,7,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99468417,1000
5,7,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
5,8,ANTERIOR,1000,1000,8,0.05000000,0.96800000,1000,0.97157762,1000
5,8,POSTERIOR,1000,1000,8,0.05000000,0.99800000,1000,0.97481603,1000
5,8,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99809389,1000
5,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
5,9,ANTERIOR,1000,1000,8,0.05000000,0.99400000,1000,0.98443697,1000
